지역,일자,PM10
서울 중구,2023-01-01,54.97826086956522
서울 중구,2023-01-31,39.78260869565217
서울 중구,2023-02-01,64.26086956521739
서울 중구,2023-02-02,44.47826086956522
서울 중구,2023-02-03,42.04347826086956
서울 중구,2023-02-04,39.391304347826086
서울 중구,2023-02-05,66.56521739130434
서울 중구,2023-02-06,79.91304347826087
서울 중구,2023-02-07,79.3913043478261
서울 중구,2023-02-08,68.47826086956522
서울 중구,2023-02-09,37.69565217391305
서울 중구,2023-02-11,44.21739130434783
서울 중구,2023-02-12,71.21739130434783
서울 중구,2023-02-13,35.130434782608695
서울 중구,2023-02-14,39.4
서울 중구,2023-02-15,19.695652173913043
서울 중구,2023-02-16,30.304347826086957
서울 중구,2023-02-17,49.26086956521739
서울 중구,2023-02-18,84.6086956521739
서울 중구,2023-02-20,39.391304347826086
서울 중구,2023-02-21,33.73913043478261
서울 중구,2023-02-22,41.96153846153846
서울 중구,2023-02-23,41.08695652173913
서울 중구,2023-02-24,48.19565217391305
서울 중구,2023-02-25,37.130434782608695
서울 중구,2023-02-26,35.47826086956522
서울 중구,2023-02-27,49.52173913043478
서울 중구,2023-02-28,39.23255813953488
서울 중구,2023-03-01,33.58695652173913
서울 중구,2023-03-02,47.90243902439025
서울 중구,2023-03-03,37.13636363636363
서울 중구,2023-03-04,68.6086956521739
서울 중구,2023-03-05,71.02173913043478
서울 중구,2023-03-06,53.80434782608695
서울 중구,2023-03-07,61.52173913043478
서울 중구,2023-03-10,94.67391304347827
서울 중구,2023-03-11,97.73913043478261
서울 중구,2023-03-13,30.565217391304348
서울 중구,2023-03-14,38.02325581395349
서울 중구,2023-03-15,43.15217391304348
서울 중구,2023-03-16,55.108695652173914
서울 중구,2023-03-17,38.43478260869565
서울 중구,2023-03-18,54.45652173913044
서울 중구,2023-03-19,92.06521739130434
서울 중구,2023-03-20,88.23913043478261
서울 중구,2023-03-21,56.5
서울 중구,2023-03-22,60.97826086956522
서울 중구,2023-03-23,101.43478260869566
서울 중구,2023-03-24,131.2608695652174
서울 중구,2023-03-25,93.54347826086956
서울 중구,2023-03-26,57.73913043478261
서울 중구,2023-03-27,44.95652173913044
서울 중구,2023-03-28,62.391304347826086
서울 중구,2023-03-29,75.70454545454545
서울 중구,2023-03-30,78.73913043478261
서울 중구,2023-03-31,95.54347826086956
서울 중구,2023-04-01,81.73913043478261
서울 중구,2023-04-02,47.65217391304348
서울 중구,2023-04-03,51.32608695652174
서울 중구,2023-04-07,72.37777777777778
서울 중구,2023-04-08,35.355555555555554
서울 중구,2023-04-09,52.869565217391305
서울 중구,2023-04-10,44.88636363636363
서울 중구,2023-04-12,249.58695652173913
서울 중구,2023-04-13,181.47826086956522
서울 중구,2023-04-14,88.65217391304348
서울 중구,2023-04-16,98.26086956521739
서울 중구,2023-04-17,95.1304347826087
서울 중구,2023-04-19,34.71739130434783
서울 중구,2023-04-21,46.26086956521739
서울 중구,2023-04-22,49.52173913043478
서울 중구,2023-04-23,47.28260869565217
서울 중구,2023-04-24,47.02173913043478
서울 중구,2023-04-26,24.23913043478261
서울 중구,2023-04-27,36.34090909090909
서울 중구,2023-04-30,33.369565217391305
서울 중구,2023-05-01,40.5
서울 중구,2023-05-02,30.195652173913043
서울 중구,2023-05-03,36.58695652173913
서울 중구,2023-05-04,42.41304347826087
서울 중구,2023-05-07,32.32608695652174
서울 중구,2023-05-08,34.02173913043478
서울 중구,2023-05-09,48.19565217391305
서울 중구,2023-05-10,53.84782608695652
서울 중구,2023-05-11,47.36363636363637
서울 중구,2023-05-12,53.72727272727273
서울 중구,2023-05-13,40.80434782608695
서울 중구,2023-05-14,20.130434782608695
서울 중구,2023-05-15,35.19565217391305
서울 중구,2023-05-17,33.130434782608695
서울 중구,2023-05-19,22.130434782608695
서울 중구,2023-05-20,22.847826086956523
서울 중구,2023-05-22,122.65217391304348
서울 중구,2023-05-23,58.34782608695652
서울 중구,2023-05-24,38.130434782608695
서울 중구,2023-05-25,32.869565217391305
서울 중구,2023-05-26,31.186046511627907
서울 중구,2023-05-30,35.90909090909091
서울 중구,2023-05-31,27.47826086956522
서울 중구,2023-06-01,37.977777777777774
서울 중구,2023-06-02,30.652173913043477
서울 중구,2023-06-03,32.21739130434783
서울 중구,2023-06-04,36.369565217391305
서울 중구,2023-06-05,31.209302325581394
서울 중구,2023-06-06,20.26086956521739
서울 중구,2023-06-07,35.02173913043478
서울 중구,2023-06-12,30.108695652173914
서울 중구,2023-06-13,27.5
서울 중구,2023-06-15,29.6046511627907
서울 중구,2023-06-16,27.195652173913043
서울 중구,2023-06-17,20.022222222222222
서울 중구,2023-06-18,25.456521739130434
서울 중구,2023-06-19,47.84444444444444
서울 중구,2023-06-22,20.434782608695652
서울 중구,2023-06-23,34.869565217391305
서울 중구,2023-06-24,36.72093023255814
서울 중구,2023-06-25,33.422222222222224
서울 중구,2023-06-28,31.152173913043477
서울 중구,2023-07-01,27.369565217391305
서울 중구,2023-07-02,20.644444444444446
서울 중구,2023-07-03,33.28260869565217
서울 중구,2023-07-06,47.869565217391305
서울 중구,2023-07-07,44.58695652173913
서울 중구,2023-07-08,13.478260869565217
서울 중구,2023-07-16,30.847826086956523
서울 중구,2023-07-19,31.043478260869566
서울 중구,2023-07-20,57.17777777777778
서울 중구,2023-07-21,64.52173913043478
서울 중구,2023-07-27,23.47826086956522
서울 중구,2023-07-28,34.19565217391305
서울 중구,2023-07-29,30.13953488372093
서울 중구,2023-08-01,29.818181818181817
서울 중구,2023-08-02,34.422222222222224
